Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,3.86871809125479,3.49116987088031,3.41687638944796,4.31717986447036,4.42459959836211,3.97666636845196,7.32669543218398,8.21513198440249,4.73817487709474,-0.87345594081205,5.36034347694341,4.40315923935717,4.88259241031079,2.49476611386375,3.54210987593986,3.65208096806472,4.20432325432709,4.15769896239459,2.61590440285156,2.41751181706449,-4.27335432054194,7.9357622471191,4.55149177958398,5.11192183224598
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,-0.265789462275947,-2.15401249077306,-2.73052647441901,-4.72586658630681,3.18503822575397,0.996065564854788,2.81557859252327,1.10142976793477,4.7826659787672,3.60332156667053,6.84804939907013,-5.37044724000579,7.62041176451649,10.7602131311256,9.37199994240375,7.19494942728191,7.17275963956332,7.41076242584926,4.84314605898469,6.72137167595899,0.699728593256083,7.06332910217667,6.2178509127107,6.53593302046529
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,2.95627461433136,3.12086446001076,5.820577751174,5.59963357166606,4.17994854019162,4.30749296174091,5.07683541210319,5.07502182824415,2.01952178877016,-7.21512020196286,-1.22486414117947,-0.0582469257747107,-2.29825501176262,-0.306838201985599,-0.341682629892162,2.54912963456138,3.6491975253731,3.36480330584141,2.98337691293294,3.44274248042554,-8.52043813391506,13.0411434856638,7.02722588804099,3.06087128780983
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,5.91476001879718,3.18502990449461,1.42482126141282,3.79274022304334,5.77053807021557,11.201656556128,12.0658629777336,7.26213696647943,4.11682804164681,1.4513054307407,2.39035229650723,2.80230083647626,3.01490028898772,2.74760256257211,1.04757663187654,4.4383335888395,0.512843095700745,1.80979177212284,2.24794854086232,-0.163087223606624,-10.9490846048862,1.25369342501311,1.77485399483382,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,..,-0.695753704098053,0.397065216763636,0.288186681651752,0.208461073109362,0.676425345201665,1.63593468987035,2.46996322836787,2.18804308019168,-0.531308242338184,0.0823066088131412,0.50845748203723,-0.34895082430242,-0.635696907591139,-0.637397373327133,0.458151544160046,-1.06770848655277,-1.2762081008495,-2.10411133101029,-3.20613230348162,-18.0384576815908,4.2,7.89999999999999,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,5.96531031488554,3.95256054086292,3.72295649883057,2.6232861229859,5.02634392575987,4.85300383835666,4.71382866563106,5.09806845261184,3.6468119905756,-2.01526235906867,2.28354499702917,0.416712762832276,-3.44738142393619,-6.58748225683094,-1.77606191187711,3.41892318781653,6.57358020185954,5.73347613913472,5.647664895964,5.53725481070528,-3.44359637887621,9.91131179221449,5.05812800841309,2.46693496487094
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czechia,CZE,4.00102863502944,3.04297656257042,1.56985532822202,3.58368845880418,4.81426100126959,6.60161752988951,6.76693268125427,5.57033885921025,2.68641195092762,-4.65733109171755,2.43490215904518,1.76035962445222,-0.785004299003617,-0.0459036735515213,2.26210289708078,5.38838083815307,2.5372845203138,5.16872430413071,3.22008806955105,3.02987866345279,-5.50296796125089,3.55302130899085,2.35100353961535,-0.311479452106369
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,3.74686259540198,0.823152998014436,0.46634557149423,0.390058556485101,2.66821926741747,2.33664130821947,3.9130079783106,0.909238928302372,-0.512016744849106,-4.90654772965155,1.87099114718497,1.33677776690328,0.226499791802965,0.933340972371226,1.61939381103033,2.34259110757047,3.24595698524396,2.82173634129026,1.98953731496432,1.49348695853648,-2.42451267861938,6.84452190183443,2.73117445421431,1.88961038591202
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.06154324233921,7.52610891881017,7.1234323372872,5.458091517212,4.7744168883374,5.5451305999467,1.31636324158444,4.52234774643702,3.72857647005031,6.67664964361434
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,2.3402193206939,-0.0638447296175713,-2.82799889265104,6.35313712169359,3.0506902946631,0.655862268923528,4.65945548635737,6.3529724394503,7.12105798575789,-1.16959064327486,0.672634400445048,-0.22355068823471,-1.05900024335187,-0.99994063117542,4.75378658076897,-2.73150306271826,2.76364798170461,-6.61899463280534,3.54758441831531,5.5024834367041,-16.6041095231221,6.8905494167316,5.58354626264079,4.71223818531963
